MER Version,Tab,List,Indicator,HasIndicatorLink,Description,Table Data (in Markdown),Images,Links 
2.3,New Addition to MER 2.3,Updated DATIM Functionality,Auto-Population of HTS_TST Modalities,FALSE,"New efforts to reduce data entry redundancy and reinforce the relationships between indicators are being instituted in this iteration of the MER guidance. The definitions for the PMTCT (ANC1), TB, VMMC, and index HIV testing services modalities have been aligned with their respective parent status indicators (i.e., PMTCT_STAT, TB_STAT, VMMC_CIRC, and HTS_INDEX). Results will no longer be entered for these modalities through the HTS_TST indicator directly but will instead be entered into the parent indicator and then auto-populated into HTS_TST. For example, results entered for TB_STAT newly tested positives will auto- populate into the TB modality for HTS_TST within DATIM. DATIM users will still see these modalities on the data entry screen but will no longer be able to enter data directly into the modalities. Once data is entered for the partner indicator, it will be copied into the relevant data entry form for the corresponding HTS modality. For further details, see the diagram below and review the HTS_TST reference sheet.

**Table 3: Indicator Summary Table**
|    Indicator Code    |    Indicator Group      |    Indicator Description                                                                                                                                                                                                                                                                |    Reporting   Frequency    |
|----------------------|-------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------|
|    AGYW_PREV         |    Prevention           |    Percentage of adolescent girls and young women   (AGYW) that completed the DREAMS primary package of evidence-based   services/interventions.                                                                                                                                        |    Semi-Annual              |
|    CXCA_SCRN         |    Testing              |    Percentage of HIV-positive   women on ART screened for cervical cancer                                                                                                                                                                                                               |    Semi-Annual              |
|    CXCA_TX           |    Treatment            |    Percentage of cervical cancer screen-positive   women who are HIV-positive and on ART eligible for cryotherapy,   thermocoagulation or LEEP who received cryotherapy, thermocoagulation or LEEP                                                                                      |    Semi-Annual              |
|    EMR_SITE          |    Health Systems       |    Number of PEPFAR-supported facilities that   have an electronic medical record system within the following service   delivery areas: HIV Testing Services, Care & Treatment, Antenatal or   Maternity Services, Early Infant Diagnosis or Under Five Clinic, or TB/HIV   Services    |    Annual                   |
|    FPINT_SITE        |    Prevention           |    Number of HIV service   delivery points at a site supported by PEPFAR that are providing integrated   voluntary family planning services                                                                                                                                             |    Annual                   |
|    GEND_GBV          |    Prevention           |    Number of people receiving   post-gender-based violence clinical care based on the minimum package                                                                                                                                                                                   |    Annual                   |
|    HRH_CURR          |    Health Systems       |    Number of health workers who are working on HIV-   related activities and are receiving any type of support from PEPFAR, as well   as total spend on these workers                                                                                                                   |    Annual                   |
|    HRH_PRE           |    Health Systems       |    Number of new health workers who graduated from a   pre-service training institution or program as a result of PEPFAR-supported   strengthening efforts, within the reporting period, by select cadre                                                                                |    Annual                   |
|    HTS_INDEX         |    Testing              |    Number of individuals who were identified   and tested using Index testing services and received their results                                                                                                                                                                       |    Quarterly                |
|    HTS_RECENT        |    Testing              |    Percentage of persons aged ≥15 years newly   diagnosed with HIV-1 infection who have a test for recent infection result of   ‘recent infection’ during the reporting period                                                                                                          |    Quarterly                |
|    HTS_SELF          |    Testing              |    Number of individual HIV self-test kits distributed                                                                                                                                                                                                                                  |    Quarterly                |
|    HTS_TST           |    Testing              |    Number of individuals who received HIV Testing   Services and received their test results                                                                                                                                                                                            |    Quarterly                |
|    KP_MAT            |    Prevention           |    Number of people who inject drugs on   medication- assisted therapy for at least 6 months                                                                                                                                                                                            |    Annual                   |
|    KP_PREV           |    Prevention           |    Number of key populations reached with individual   and/or small group-level HIV prevention interventions designed for the target   population                                                                                                                                       |    Semi-Annual              |
|    LAB_PTCQI         |    Health Systems       |    Number of PEPFAR-supported laboratory-based   testing and/or Point-of-Care Testing (POCT) sites engaged in continuous   quality Improvement (CQI) and proficiency testing (PT) activities.                                                                                           |    Annual                   |
|    OVC_HIVSTAT       |    Testing              |    Percentage of orphans and vulnerable   children (<18 years old) with HIV status reported to implementing partner.                                                                                                                                                                    |    Semi-Annual              |
|    OVC_SERV          |    Prevention           |    Number of beneficiaries served by PEPFAR   OVC programs for children and families affected by HIV                                                                                                                                                                                    |    Semi-Annual              |
|    PMTCT_ART         |    Treatment            |    Percentage of HIV-positive pregnant women   who received ART to reduce the risk of mother-to-child- transmission during   pregnancy                                                                                                                                                  |    Quarterly                |
|    PMTCT_EID         |    Testing              |    Percentage of infants born   to HIV-positive women who received a first virologic HIV test (sample   collected) by 12 months of age                                                                                                                                                  |    Quarterly                |
|    PMTCT_FO          |    Testing              |    Percentage of final outcomes among HIV exposed   infants registered in a birth cohort                                                                                                                                                                                                |    Annual                   |
|    PMTCT_HEI_POS     |    Testing              |    Number of HIV-infected   infants identified in the reporting period, whose diagnostic sample was   collected by 12 months of age.                                                                                                                                                    |    Quarterly                |
|    PMTCT_STAT        |    Testing              |    Percentage of pregnant women with known HIV status   at antenatal care                                                                                                                                                                                                               |    Quarterly                |
|    PP_PREV           |    Prevention           |    Number of priority populations reached with   the standardized, evidence-based intervention(s) required that are designed   to promote the adoption of HIV prevention behaviors and service uptake                                                                                   |    Semi-Annual              |
|    PrEP_CURR         |    Prevention           |    Number of individuals, inclusive of those newly enrolled, that received oral   antiretroviral pre-exposure prophylaxis to prevent HIV during the reporting period                                                                                                                    |    Semi-Annual              |
|    PrEP_NEW          |    Prevention           |    Number of individuals who have been newly enrolled   on oral antiretroviral pre-exposure prophylaxis to prevent HIV infection in   the reporting period                                                                                                                              |    Semi-Annual              |
|    SC_STOCK          |    Health Systems       |    Percentage of stock status observations from   storage sites where commodities are stocked according to plan, by level in   supply system                                                                                                                                            |    Semi-Annual              |
|    TB_ART            |    Treatment            |    Proportion of HIV-positive new and relapsed TB   cases on ART during TB treatment                                                                                                                                                                                                    |    Quarterly                |
|    TB_PREV           |    Prevention           |    Proportion of ART patients   who completed a standard course of TB preventive therapy within the semiannual reporting period                                                                                                                                                         |    Semi-Annual              |
|    TB_STAT           |    Testing              |    Percentage of new and relapse TB cases with   documented HIV status                                                                                                                                                                                                                  |    Quarterly                |
|    TX_CURR           |    Treatment            |    Number of adults and children currently   receiving antiretroviral therapy (ART)                                                                                                                                                                                                     |    Quarterly                |
|    TX_ML             |    Treatment            |    Number of ART patients with no clinical   contact since their last expected contact                                                                                                                                                                                                  |    Semi-Annual              |
|    TX_NEW            |    Treatment            |    Number of adults and children newly   enrolled on antiretroviral therapy (ART)                                                                                                                                                                                                       |    Quarterly                |
|    TX_PVLS           |    Viral Suppression    |    Percentage of ART patients with a suppressed viral   load (VL) result (<1000 copies/ml) documented in the medical or laboratory   records/laboratory information systems (LIS) within the past 12 months                                                                             |    Quarterly                |
|    TX_TB             |    Treatment            |    Proportion of ART patients screened for TB   in the semiannual reporting period who start TB treatment.                                                                                                                                                                              |    Semi-Annual              |
|    VMMC_CIRC         |    Prevention           |    Number of males circumcised as part of the   voluntary medical male circumcision for HIV prevention program within the   reporting period                                                                                                                                            |    Quarterly                |","|    Indicator Code    |    Indicator Group      |    Indicator Description                                                                                                                                                                                                                                                                |    Reporting   Frequency    |
|----------------------|-------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------|
|    AGYW_PREV         |    Prevention           |    Percentage of adolescent girls and young women   (AGYW) that completed the DREAMS primary package of evidence-based   services/interventions.                                                                                                                                        |    Semi-Annual              |
|    CXCA_SCRN         |    Testing              |    Percentage of HIV-positive   women on ART screened for cervical cancer                                                                                                                                                                                                               |    Semi-Annual              |
|    CXCA_TX           |    Treatment            |    Percentage of cervical cancer screen-positive   women who are HIV-positive and on ART eligible for cryotherapy,   thermocoagulation or LEEP who received cryotherapy, thermocoagulation or LEEP                                                                                      |    Semi-Annual              |
|    EMR_SITE          |    Health Systems       |    Number of PEPFAR-supported facilities that   have an electronic medical record system within the following service   delivery areas: HIV Testing Services, Care & Treatment, Antenatal or   Maternity Services, Early Infant Diagnosis or Under Five Clinic, or TB/HIV   Services    |    Annual                   |
|    FPINT_SITE        |    Prevention           |    Number of HIV service   delivery points at a site supported by PEPFAR that are providing integrated   voluntary family planning services                                                                                                                                             |    Annual                   |
|    GEND_GBV          |    Prevention           |    Number of people receiving   post-gender-based violence clinical care based on the minimum package                                                                                                                                                                                   |    Annual                   |
|    HRH_CURR          |    Health Systems       |    Number of health workers who are working on HIV-   related activities and are receiving any type of support from PEPFAR, as well   as total spend on these workers                                                                                                                   |    Annual                   |
|    HRH_PRE           |    Health Systems       |    Number of new health workers who graduated from a   pre-service training institution or program as a result of PEPFAR-supported   strengthening efforts, within the reporting period, by select cadre                                                                                |    Annual                   |
|    HTS_INDEX         |    Testing              |    Number of individuals who were identified   and tested using Index testing services and received their results                                                                                                                                                                       |    Quarterly                |
|    HTS_RECENT        |    Testing              |    Percentage of persons aged ≥15 years newly   diagnosed with HIV-1 infection who have a test for recent infection result of   ‘recent infection’ during the reporting period                                                                                                          |    Quarterly                |
|    HTS_SELF          |    Testing              |    Number of individual HIV self-test kits distributed                                                                                                                                                                                                                                  |    Quarterly                |
|    HTS_TST           |    Testing              |    Number of individuals who received HIV Testing   Services and received their test results                                                                                                                                                                                            |    Quarterly                |
|    KP_MAT            |    Prevention           |    Number of people who inject drugs on   medication- assisted therapy for at least 6 months                                                                                                                                                                                            |    Annual                   |
|    KP_PREV           |    Prevention           |    Number of key populations reached with individual   and/or small group-level HIV prevention interventions designed for the target   population                                                                                                                                       |    Semi-Annual              |
|    LAB_PTCQI         |    Health Systems       |    Number of PEPFAR-supported laboratory-based   testing and/or Point-of-Care Testing (POCT) sites engaged in continuous   quality Improvement (CQI) and proficiency testing (PT) activities.                                                                                           |    Annual                   |
|    OVC_HIVSTAT       |    Testing              |    Percentage of orphans and vulnerable   children (<18 years old) with HIV status reported to implementing partner.                                                                                                                                                                    |    Semi-Annual              |
|    OVC_SERV          |    Prevention           |    Number of beneficiaries served by PEPFAR   OVC programs for children and families affected by HIV                                                                                                                                                                                    |    Semi-Annual              |
|    PMTCT_ART         |    Treatment            |    Percentage of HIV-positive pregnant women   who received ART to reduce the risk of mother-to-child- transmission during   pregnancy                                                                                                                                                  |    Quarterly                |
|    PMTCT_EID         |    Testing              |    Percentage of infants born   to HIV-positive women who received a first virologic HIV test (sample   collected) by 12 months of age                                                                                                                                                  |    Quarterly                |
|    PMTCT_FO          |    Testing              |    Percentage of final outcomes among HIV exposed   infants registered in a birth cohort                                                                                                                                                                                                |    Annual                   |
|    PMTCT_HEI_POS     |    Testing              |    Number of HIV-infected   infants identified in the reporting period, whose diagnostic sample was   collected by 12 months of age.                                                                                                                                                    |    Quarterly                |
|    PMTCT_STAT        |    Testing              |    Percentage of pregnant women with known HIV status   at antenatal care                                                                                                                                                                                                               |    Quarterly                |
|    PP_PREV           |    Prevention           |    Number of priority populations reached with   the standardized, evidence-based intervention(s) required that are designed   to promote the adoption of HIV prevention behaviors and service uptake                                                                                   |    Semi-Annual              |
|    PrEP_CURR         |    Prevention           |    Number of individuals, inclusive of those newly enrolled, that received oral   antiretroviral pre-exposure prophylaxis to prevent HIV during the reporting period                                                                                                                    |    Semi-Annual              |
|    PrEP_NEW          |    Prevention           |    Number of individuals who have been newly enrolled   on oral antiretroviral pre-exposure prophylaxis to prevent HIV infection in   the reporting period                                                                                                                              |    Semi-Annual              |
|    SC_STOCK          |    Health Systems       |    Percentage of stock status observations from   storage sites where commodities are stocked according to plan, by level in   supply system                                                                                                                                            |    Semi-Annual              |
|    TB_ART            |    Treatment            |    Proportion of HIV-positive new and relapsed TB   cases on ART during TB treatment                                                                                                                                                                                                    |    Quarterly                |
|    TB_PREV           |    Prevention           |    Proportion of ART patients   who completed a standard course of TB preventive therapy within the semiannual reporting period                                                                                                                                                         |    Semi-Annual              |
|    TB_STAT           |    Testing              |    Percentage of new and relapse TB cases with   documented HIV status                                                                                                                                                                                                                  |    Quarterly                |
|    TX_CURR           |    Treatment            |    Number of adults and children currently   receiving antiretroviral therapy (ART)                                                                                                                                                                                                     |    Quarterly                |
|    TX_ML             |    Treatment            |    Number of ART patients with no clinical   contact since their last expected contact                                                                                                                                                                                                  |    Semi-Annual              |
|    TX_NEW            |    Treatment            |    Number of adults and children newly   enrolled on antiretroviral therapy (ART)                                                                                                                                                                                                       |    Quarterly                |
|    TX_PVLS           |    Viral Suppression    |    Percentage of ART patients with a suppressed viral   load (VL) result (<1000 copies/ml) documented in the medical or laboratory   records/laboratory information systems (LIS) within the past 12 months                                                                             |    Quarterly                |
|    TX_TB             |    Treatment            |    Proportion of ART patients screened for TB   in the semiannual reporting period who start TB treatment.                                                                                                                                                                              |    Semi-Annual              |
|    VMMC_CIRC         |    Prevention           |    Number of males circumcised as part of the   voluntary medical male circumcision for HIV prevention program within the   reporting period                                                                                                                                            |    Quarterly                |",Figure 3: Auto-Population of HTS_TST from Associated Indicators,
2.2,New Addition to MER 2.2,New Indicators,HTS_SELF,TRUE,"HTS_SELF is a new indicator introduced for reporting beginning in Q1 of FY18. This indicator assesses the distribution of HIV self-test kits disaggregated by directly assisted versus unassisted self-
testing. While age/sex disaggregates are requested for this indicator, it’s important to remember that this indicator is assessing the distribution of self-test kits so the disaggregated data should be focused on the individual the self-test kit was distributed to and not necessarily the end use of the test kit. For more information and examples, please refer to the indicator reference sheet for HTS_SELF.
",,,
2.2,New Addition to MER 2.2,New Indicators,PMTCT_HEI_POS,TRUE,"PMTCT_HEI_POS is a new indicator for reporting beginning in Q1 of FY18. This indicator is being introduced in response to challenges with the former PMTCT_EID_POS indicator disaggregation in the collection of test results among those tests that were performed within the same quarter. Previously, a significant proportion of results were reported as “unknown” each quarter since results reporting was based on the date of DBS collection, but turnaround times from DBS collection to
result return to site are often ≥4 weeks. DBS collected within 4 weeks of the end of the quarter generally did not have a result reported.
PMTCT_HEI_POS addresses these monitoring challenges by collecting only the positive results that returned during the reporting period. PMTCT_HEI_POS indicator was introduced to describe both early testing coverage and linkage of HIV+ infants to ART and to ensure collection of the number of infants identified as HIV+ in the first year of life that would be accurate and meaningful to program monitoring and planning. PMTCT_EID will continue to collect the virologic tests performed.
",,,
2.2,New Addition to MER 2.2,New Disaggregations,AGE DISAGGREGATIONS,FALSE,"Data from the Population-Based HIV Impact Assessments (PHIA) (https://phia.icap.columbia.edu/) provided valuable insight into the progress many PEPFAR countries have made towards achieving the 95-95-95 goals in all ages and sexes. Significant disparities in incidence and viral suppression among adults within the PEPFAR 25-49-year-old reporting age band lead PEPFAR to reassess the required reporting age bands and further disaggregate the 25-49-year old age band into the following four age bands: 25-29, 30-34, 35-39, and 40-49. Reporting on the new PEPFAR age bands will commence in FY18 Q1. **_New age bands_: <1, 1-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-49, and 50+**
_Previous age bands_: <1, 1-9, 10-14, 15-19, 20-24, 25-49, and 50+",,,https://phia.icap.columbia.edu/
2.2,New Addition to MER 2.2,New Disaggregations,HTS_TST,TRUE,Two new facility-based testing modalities have been introduced for FY18 reporting: emergency department and STI clinic. Please refer to the indicator reference sheet for HTS_TST for additional details on the new facility-based testing modalities.,,,
2.2,New Addition to MER 2.2,New Disaggregations,LAB_PTCQI,TRUE,"A new disaggregate was introduced beginning in FY18 for the number of specimens received for testing at all PEPFAR-supported laboratories and point-of-care testing (POCT) sites within a testing category for the following categories: HIV serology/diagnostic testing, HIV IVT/EID, HIV Viral Load, TB Xpert, TB AFB, TB Culture, and CD4. LAB_PTCQI is an annual indicator so PEPFAR teams will begin reporting on this change at FY18 Q4.",,,
2.2,Adjustments from MER 2.1,Modifications to Existing Disaggregations,VMMC_CIRC,TRUE,The VMMC follow-up status disaggregate has been updated to capture instances where post-VMMC follow-up did not take place within 14 days of the procedure or within the reporting period.,,,
2.2,Adjustments from MER 2.1,Modifications to Existing Disaggregations,PREP_NEW,TRUE,"The KP type disaggregation for this indicator was updated to include ‘Other KP Type’ in addition to the MSM, TG, and FSW options that were already available.",,,
2.2,Adjustments from MER 2.1,Modifications to Existing Disaggregations,OVC_SERV,TRUE,"The Age/Sex/Service Area disaggregate [DREAMS Conditional Disaggregate] was updated to include the age bands for children under 10 (<1, 1-9).",,,
2.2,Adjustments from MER 2.1,Modifications to Existing Disaggregations,TB_PREV,TRUE,"Corresponding to the sharper focus of the End TB Strategy and the emphasis on TB prevention, we now report TB_PREV which identifies the proportion of patients that complete or are maintained on continuous preventive therapy. The disaggregation for “Type of TB preventive therapy” has been updated for FY18 reporting to include ART start (i.e., newly enrolled on ART vs. previously enrolled on ART). TB preventive therapy regimen disaggregates include IPT or an alternative TB preventive therapy regimen by newly or previously enrolled on ART.",,,
2.2,Adjustments from MER 2.1,Modifications to Existing Disaggregations,TX_TB,TRUE,"TX_TB allows us to document the number of patients who are screened for TB and the proportion of those who are eventually started on TB therapy. This indicator also captures the number of ART patients who had a specimen sent for bacteriologic diagnosis (and type) of active TB disease. The denominator disaggregation for ‘Screen Result’ has been updated for FY18 reporting to include ART start to help understand if patients that screen for TB (i.e., either screen positive or screen negative) are either newly enrolled or previously enrolled on ART.",,,
2.2,Adjustments from MER 2.1,Modifications to Existing Disaggregations,GEND_GBV,TRUE,Age/sex disaggregations were added to the post-exposure prophylaxis (PEP) disaggregation. This change will help us to better understand which individuals are receiving PEP among those that have experienced sexual violence. GEND_GBV is an annual indicator so PEPFAR teams will begin reporting on this change at FY18 Q4.,,,
2.2,Removals from MER 2.1,Deleted Indicators,INVS_COMD,TRUE,Indicator has been removed due to duplication with quarterly data submitted by principal supply chain mechanisms.,,,
2.2,Removals from MER 2.1,Deleted Indicators,OVC ESSENTIAL SURVEY INDICATORS,FALSE,"The OVC MER Essential Survey Indicators are currently under review. Countries that have not yet started data collection should hold on conducting surveys until the review is complete. Countries that are in the process of data collection, or have already conducted at least one round, should continue as planned. Questions about the OVC MER essential survey indicators and related requirements can be directed to SGAC_SI@state.gov.",,,
2.2,Removals from MER 2.1,Deleted Disaggregations,HTS_TST,TRUE,Home-based testing was removed as a community-based testing modality. Country teams that targeted for programming for FY18 within the home-based testing modality should assess the approaches outlined before implementation of these activities begins. Country teams were discouraged from planning home-based testing activities for COP 17 (FY18 implementation) as previous program data from this modality yielded sub-optimal results. Door-to-door and family testing activities targeted under this indicator should be reevaluated and shifted to alternative testing modalities that will lead to higher yield and greater programmatic progress towards the identification of positives.,,,
2.2,Removals from MER 2.1,Deleted Disaggregations,PMTCT_EID,TRUE,"Infants’ diagnoses through virologic test results (positive, negative, unknown) are no longer reported within this indicator beginning in FY18 Q1. PEPFAR is introducing the PMTCT_HEI_POS indicator which will now be used for reporting on those infants diagnosed HIV positive and their linkage to treatment.",,,
2.2,Removals from MER 2.1,Deleted Disaggregations,HRH_CURR,TRUE,"Changes were made to the above-service delivery area reporting for this indicator. The
‘Cadre Category & Support Type’ disaggregation was updated to remove the ‘Staff Receiving ONLY Non- Monetary Support (FTE)’ option. Results should be reported at the above-service delivery area by cadre category and the following support types: ‘Salaried Staff (FTE)’ or ‘Staff Receiving Stipends (FTE).’ Requirements for HRH_CURR reporting at the facility and community-levels remain unchanged. This change goes into effect with FY17 Q4 reporting.",,,
2.2,Adjustments from MER 2.1,Indicator Clarifications,KEY POPULATIONS,FALSE,"Language changes for key populations categories were made to align with WHO guidance. ‘Transgender’ was changed to ‘Transgender People.’ ‘People in prison and other enclosed setting’ was changed to ‘People in prison and other closed settings.’
In addition, KP guidance has been modified to avoid double-counting and ensure that the KP data reported can be meaningfully interpreted. Despite persons potentially falling into more than one KP disaggregate (e.g., FSW who injects drugs, MSM), implementing partners should be instructed to report an individual in only one KP category with which s/he is most identified. This guidance is applicable to KP_PREV and the KP disaggregates for PrEP_NEW, HTS_TST, and TX_NEW. To better determine the KPs of interest for each indicator the key population classification document found in Appendix 1.",,Appendix 1: Key Population Classification Document,
2.2,Adjustments from MER 2.1,Indicator Clarifications,PMTCT_STAT,TRUE,Clarifying language was added to the indicator definition. Data collected for this indicator should be testing data associated with **the first ANC visit** (ANC1) of the pregnancy. This reduces the risk of double counting pregnant women who could be tested multiple times during pregnancy,,,
2.2,Adjustments from MER 2.1,Indicator Clarifications,OVC_SERV,TRUE,"Clarifying language was added to the indicator definition stating that only those OVCs that *actually* received services in the past three months should be counted in this indicator. OVCs that have registered for the OVC program, but have not yet received any services *_should not_* be counted in the results.",,,
2.1,Adjustments from MER 2.0,Not specified,Disaggregated monitoring,FALSE,"There are 3 categories of MER indicator disaggregations for the MER 2.0, which can be seen in the indicator reference sheets and the data entry screens.
1. **Required**, this indicates that this indicator disaggregate is required for all countries that have programming for this area. Which includes means that the country supports a program area,  defined by budget, programming and targets set during the COP process -- then it is required that there also be results. Required program indicators may consist of both DSD and TA results.
2. **Conditional** indicator disaggregates include those for which some additional condition must be filled. In MER 2.0 there are no full indicators that are conditional, but only additional disaggregations that are conditional on additional funding and / or programming. In MER 2.0 there are two main types of conditional indicator disaggregation’s; 1) having received additional funds for special programming, i.e., DREAMS SNU (with or without additional DREAMS funding) or, 2) having received permission for the OGAC SI advisor to complete coarse age disaggregations instead of the finer age disaggregations. This is considered conditional based on approval from S/GAC.
3. **Optional** indicator disaggregates, should be completed by those for which the indicators is useful to determine the success of their program (e.g., KP National and Subnational data) or for which the partner has strong methodological sources (KP catchment area -denominator) or for which it is both relevant and safe to enter the data at the site and/or community level (KP disaggregations for TX_NEW, HTS_TST, please see additional guidance on Key populations changes).",,,
2.1,Adjustments from MER 2.0,Not specified,KEY POPULATIONS,FALSE,"In order to better understand the HIV epidemic among key populations and program response, there have been several substantial changes to the data collection for key populations. These changes have positively affected both the KP and PP prevention program indicators as well as the clinical cascade indicators.
For the prevention program, to align PEPFAR indicators better with WHO and UNAIDS indicators, the key populations have been separated MSM and transgender and added Prisoners and other people living in enclosed places. Additionally, KP disaggregations were added to the PrEP_NEW indicator.
Where appropriate these key population have also been added as disaggregations to indicators in the clinical cascade including, HTS_TST and TX_NEW. These were not added to TX_CURR or TX_RET or TX_PVLS, specifically as identifying as KP may not be life-long and may change over time and therefore not possible to collect retrospectively. To better determine the KPs of interest for each indicator, please review Appendix 1, the key population classification document.
",,,
2.1,Adjustments from MER 2.0,Not specified,TB/HIV,FALSE,"The TB indicators have been enhanced this year to better correspond to global changes in TB policy and to better reflect the increasing emphasis on patient outcomes. We have maintained the TB_STAT indicator (and increased the frequency of collection to quarterly) and have added a disaggregate to TX_NEW and TB_ART to identify the number of new patients who have TB at the time of enrollment. These will allow us to characterize the HIV testing of TB patients, and the linkage to HIV treatment.
Elements of TB_SCREEN/ TB_SCREENDX (COP16 target setting) have been transformed into a new indicator, TX_TB, which will allow us to document the number of patients who are screened for TB, and the proportion of those who are eventually started on TB therapy. This indicator also captures the number of ART patients who had a specimen sent for bacteriologic diagnosis (and type) of active TB disease.
Corresponding to the sharper focus of the End TB Strategy, and the emphasis on TB prevention, we have transformed TB_IPT into a new indicator, TB_PREV, which will now be required. By identifying the proportion that completes or is maintained on continuous preventive therapy, we will be able to monitor relevant outcomes, rather than just the number that initiate TB preventive therapy. These indicators will allow us to document the care cascade from TB screening to the desired outcomes: TB therapy or TB preventive therapy.
",,,
2.1,Adjustments from MER 2.0,Not specified,Host Country National Program,FALSE,"Monitoring host country HIV program response is critical to understand the achievements and gaps in HIV programs in National and subnational context and by population. These data are used to inform PEPFAR programs and guide PEPFAR resources at all levels. The key program areas for monitoring host country targets and results are: prevention of mother to child transmission programs, key populations, voluntary male medical circumcision and HIV diagnosis and treatment, including viral suppression.",,,
2.1,Adjustments from MER 2.0,Not specified,Host Country National Results,FALSE,"At Q4 of the USG fiscal year, results from the host national systems should be reported up until the most recent month of collection and include 12 months of data. These may not align with end USG fiscal year results. These data should be collected continuously at the subnational level as part of service delivery areas. Data should be in line with GARPR and UNAIDS reported data where available, although may differ due to different reporting periods. Pin the narratives, please indicate what months the data include (e.g., October 2015-September 2016; or July 2015 to June 2016). Results should be consistently reported on the same time period to be able to monitor trends over time.",,,
2.1,Adjustments from MER 2.0,Not specified,Host Country National Targets,FALSE,"Developing targets for the next year (FY2017) at the National and subnational data is an important step in understanding the national program and determining geographic investments (including host country, The Global Fund and other donors). When PEPFAR better understands the target the national program setting process, then it is better placed to support the program and to fill necessary impactful programmatic gaps. Please describe the target setting process that the host country employs in the narratives and partnering donors). The national targets
 
should cover the next calendar or fiscal year; the timeframe should be indicated in the narratives.
",,,
2.1,Adjustments from MER 2.0,Not specified,Host Country Subnational Targets and Results,FALSE,"Data are needed from both the national and subnational level. The subnational level is considered that in which the country team has prioritized their program (PSNU). This data should be entered for all subnational units, regardless of PEPFAR funding supporting these geographical areas; so that the total of the subnational results or targets should equal the total number of national results and targets.",,,
2.1,Adjustments from MER 2.0,Not specified,SIMS in relation to MER 2.0,FALSE,"SIMS evaluates the quality of service delivery or program oversight to identify performance issues that may impact patient outcomes or the integrity of reporting for MER targets or disaggregates. Low final scores (reds and yellows) from these CEEs highlight potential issues with service delivery, site performance or oversight, and/or documentation of patient results. The SIMS 2.0 Linkage Reference Table provides a listing of all SIMS 2.0 CEEs that have been directly linked to a given MER indicator; linkage data may be used for data triangulation activities to inform and contextualize MER results.",,,
2.1,Adjustments from MER 2.0,Not specified,Expenditure Analysis (EA) & MER 2.0 Alignment,FALSE,"PEPFAR Expenditure Analysis (EA) is conducted annually in order to better understand the costs the USG incurs to provide a broad range of HIV services and support and subsequently use this information to improve program planning. Additional information about  EA methodology, process, and timeline  can be found in the EA annual Guidance. PEPFAR results reported through the MER are linked to EA  program areas to calculate a “unit expenditure” (UE). The UE represents the amount (in USD) PEPFAR spent per beneficiary reached within a program area tied to the relevant indicator. Unit expenditures are only calculated when appropriate indicators are available and align with EA expenditure reporting, and therefore EA uses only a selection of MER indicators.
The general framework of EA-MER underscores 1) The benefit of logic checks that ensure consistency and completeness in MER reporting within and across partners in an OU, and 2) that reporting to EA and MER are aligned – i.e. expenditures are reported in the same locations (at EA SNU level, typically district or province) and program areas in which results are reported _(please note: expenditures can also be reported in SNUs and/or program areas in which results are not reported)_.",,,
